line_number,msg,﻿B,P-010938,1,0000 ,   ,Building Line,BL        
9047,"Expected 7 columns, found 9 columns",B,P-336273,3,0066 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9054,"Expected 7 columns, found 9 columns",B,P-336274,3,0036 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9063,"Expected 7 columns, found 9 columns",B,P-336275,3,0056 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9077,"Expected 7 columns, found 9 columns",B,P-336276,7,0430 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9078,"Expected 7 columns, found 9 columns",B,P-336276,8,0543 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
9085,"Expected 7 columns, found 9 columns",B,P-336277,5,0164 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9088,"Expected 7 columns, found 9 columns",B,P-336277,8,0204 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
9106,"Expected 7 columns, found 9 columns",B,P-336280,8,0353 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9109,"Expected 7 columns, found 9 columns",B,P-336280,11,0457 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9119,"Expected 7 columns, found 9 columns",B,P-336281,4,0182 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9120,"Expected 7 columns, found 9 columns",B,P-336281,5,0221 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9133,"Expected 7 columns, found 9 columns",B,P-336282,5,0197 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9142,"Expected 7 columns, found 9 columns",B,P-336283,5,0191 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9206,"Expected 7 columns, found 9 columns",B,P-336297,3,0009 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
9207,"Expected 7 columns, found 9 columns",B,P-336297,4,0066 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9316,"Expected 7 columns, found 9 columns",B,P-336313,5,0217 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9325,"Expected 7 columns, found 9 columns",B,P-336314,5,0193 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9366,"Expected 7 columns, found 9 columns",B,P-336600,3,0035 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
9859,"Expected 7 columns, found 9 columns",B,P-336732,8,0321 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
